text,label
 Reality keeps endorsing Bernie Sanders. Pass it on.,0
 YO DID KING BERNIE REALLY USE MY SONG FOR HIS CAMPAIGN I AM SO SKEPTICAL IS THIS REAL????SOMEONE LMK???? …,0
 1/31—The president halted all China travel  2/1—Biden called it “hysterical xenophobia”  2/2—ACLU said “travel bans and qu…,0
 Reality keeps endorsing Bernie Sanders. Pass it on.,0
" throughout all of this i feel as if perhaps, two words, Bernie Sanders",0
 Reality keeps endorsing Bernie Sanders. Pass it on. ,0
 YO DID KING BERNIE REALLY USE MY SONG FOR HIS CAMPAIGN I AM SO SKEPTICAL IS THIS REAL????SOMEONE LMK???? …,0
 1/31—The president halted all China travel  2/1—Biden called it “hysterical xenophobia”  2/2—ACLU said “travel bans and qu…,0
 YO DID KING BERNIE REALLY USE MY SONG FOR HIS CAMPAIGN I AM SO SKEPTICAL IS THIS REAL????SOMEONE LMK???? …,0
"Bernie's fighting for policies, these people are fighting for a team... ",0
 YO DID KING BERNIE REALLY USE MY SONG FOR HIS CAMPAIGN I AM SO SKEPTICAL IS THIS REAL????SOMEONE LMK???? …,0
" If politics were video games from the 90s, Bernie is the Boss you have to beat to get to the next level.  Trump is the Bos…",0
cal5k thepoliticalcat Bulwark Online Bernie's already lost.  learn to math bro.,0
 Presidential af.   ,0
 Did you know:  According to a new study—just ONE traveller from China let into Washington State in January infected 39 p…,0
 Donald Trump and Mitt Romney are officially more progressive than Bernie Sanders. Let. That. Sink. In.,0
" He’ll never do it, but Bernie should form a new party and run in the general. He would get a significant chunk of the vote.",0
 Reality keeps endorsing Bernie Sanders. Pass it on. ,0
I thought it wouldn't matter in any way by the time the primary got to me but even if it doesn't I'm now actually v… ,0
 After this COVID19 pandemic is over how could you not vote for Bernie!!!????? 😭😭😭This pandemic is whooping America’s ass a…,0
 Reality keeps endorsing Bernie Sanders. Pass it on.,0
 Important note:  You cannot complain about empty store shelves  And then go out and vote for communist Bernie Sanders…,0
"chrislongview i'm not happy that Bernie stayed in the race, with no real chance, forcing Americans to make a choic… ",0
